Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
2,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
3,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
4,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
5,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
6,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
7,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
8,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
9,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
10,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
11,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
12,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
13,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
14,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
15,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
16,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
17,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
18,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
19,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
20,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
21,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
22,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
23,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
24,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
25,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
26,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
27,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
28,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
29,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
30,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
31,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
32,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
33,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
34,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
35,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
36,Nc3,True,b5c3,Mate in 11,0.91,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
37,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
38,Nf3,False,,,0.0,k5r1/8/K1PB4/1N1R4/8/8/6B1/8
