Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
2,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
3,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
4,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
5,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
6,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
7,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
8,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
9,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
10,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
11,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
12,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
13,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
14,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
15,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
16,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
17,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
18,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
19,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
20,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
21,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
22,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
23,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
24,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
25,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
26,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
27,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
28,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
29,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
30,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
31,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
32,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
33,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
34,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
35,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
36,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
37,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
38,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
39,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
40,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
41,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
42,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
43,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
44,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
45,h7g6,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
