Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
2,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
3,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
4,Qd5,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
5,Qd5,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
6,Qxh7,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
7,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
8,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
9,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
10,Qxh7,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
11,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
12,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
13,Qxh7,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
14,Qg5,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
15,Qxh7,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
16,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
17,Qg5,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
18,Qxh7,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
19,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
20,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
21,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
22,Qg5,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
23,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
24,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
25,Qd5,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
26,Qd5,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
27,Qxh7,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
28,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
29,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
30,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
31,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
32,Qg5,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
33,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
34,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
35,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
36,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
37,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
38,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
39,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
40,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
41,d4,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
