Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
2,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
3,c6,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
4,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
5,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
6,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
7,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
8,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
9,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
10,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
11,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
12,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
13,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
14,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
15,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
16,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
17,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
18,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
19,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
20,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
21,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
22,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
23,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
24,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
25,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
26,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
27,c6,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
28,Qc4,True,b3c4,Mate in -1,0.1,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
29,Qc4,True,b3c4,Mate in -1,0.1,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
30,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
31,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
32,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
33,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
34,c6,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
35,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
36,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
37,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
38,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
39,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
40,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
41,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
42,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
43,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
44,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
45,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
46,c6,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
47,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
48,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
49,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
50,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
51,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
52,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
53,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
54,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
55,Qc4,True,b3c4,Mate in -1,0.1,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
56,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
57,c6,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
58,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
59,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
60,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
61,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
62,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
63,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
64,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
65,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
66,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
67,c6,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
68,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
69,c6,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
70,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
71,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
72,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
73,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
74,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
75,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
76,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
77,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
78,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
79,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
80,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
81,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
82,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
83,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
84,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
85,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
86,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
87,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
88,Qc2,True,b3c2,Mate in -1,0.1,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
89,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
90,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
91,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
92,c6,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
93,c6,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
94,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
95,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
96,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
97,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
98,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
99,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
100,Qd5,False,,,0.0,3B4/8/3r4/2KPk3/1P3r2/nQ3qN1/1n3N2/8
,,,,,,
,=== Summary Statistics ===,,,,,
,Average Normalized Value,,,0.004,,
,Standard Deviation,,,0.02,,
,Mean Absolute Error (from 0.5),,,0.496,,
,Illegal Moves (%),,,96.00%,,
,Mean Value (Legal Moves Only),,,0.1,,
