Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
2,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
3,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
4,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
5,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
6,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
7,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
8,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
9,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
10,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
11,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
12,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
13,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
14,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
15,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
16,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
17,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
18,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
19,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
20,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
21,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
22,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
23,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
24,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
25,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
26,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
27,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
28,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
29,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
30,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
31,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
32,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
33,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
34,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
35,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
36,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
37,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
38,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
39,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
40,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
41,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
42,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
43,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
44,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
45,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
46,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
47,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
48,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
49,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
50,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
51,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
52,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
53,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
54,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
55,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
56,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
57,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
58,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
59,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
60,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
61,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
62,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
63,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
64,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
65,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
66,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
67,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
68,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
69,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
70,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
71,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
72,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
73,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
74,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
75,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
76,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
77,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
78,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
79,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
80,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
81,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
82,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
83,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
84,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
85,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
86,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
87,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
88,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
89,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
90,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
91,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
92,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
93,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
94,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
95,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
96,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
97,NONE,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
98,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
99,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
100,Nf6,False,,,0.0,3Nq3/4k3/1P2N2P/3R1R2/8/8/8/4K3
,,,,,,
,=== Summary Statistics ===,,,,,
,Average Normalized Value,,,0.0,,
,Standard Deviation,,,0.0,,
,Mean Absolute Error (from 0.5),,,0.5,,
,Illegal Moves (%),,,100.00%,,
,Mean Value (Legal Moves Only),,,0.0,,
