Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
2,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
3,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
4,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
5,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
6,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
7,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
8,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
9,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
10,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
11,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
12,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
13,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
14,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
15,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
16,SE,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
17,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
18,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
19,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
20,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
21,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
22,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
23,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
24,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
25,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
26,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
27,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
28,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
29,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
30,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
31,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
32,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
33,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
34,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
35,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
36,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
37,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
38,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
39,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
40,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
41,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
42,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
43,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
44,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
45,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
46,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
47,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
48,Rd8,False,,,0.0,rkN5/b1R5/3P4/8/K7/4p3/8/7b
