Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
2,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
3,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
4,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
5,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
6,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
7,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
8,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
9,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
10,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
11,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
12,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
13,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
14,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
15,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
16,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
17,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
18,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
19,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
20,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
21,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
22,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
23,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
24,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
25,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
26,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
27,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
28,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
29,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
30,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
31,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
32,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
33,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
34,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
35,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
36,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
37,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
38,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
39,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
40,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
41,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
42,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
43,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
44,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
45,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
46,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
47,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
48,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
49,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
50,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
51,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
52,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
53,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
54,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
55,Kf1,False,,,0.0,4k2K/8/5Pb1/4P3/3P4/8/8/8
