Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,Nf3,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
2,Qd6,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
3,Bxf7,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
4,Nf3,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
5,h5,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
6,Nc3,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
7,SE,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
8,f6,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
9,h5xd5,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
10,Qxh3,True,h7h3,621 cp,0.748,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
11,SE,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
12,e4,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
13,Ne5,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
14,Qxh8,True,h7h8,31 cp,0.512,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
15,SE,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
16,SE,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
17,Qxh8,True,h7h8,29 cp,0.512,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
18,R8g,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
19,Rb1,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
20,Rg2,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
21,c5,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
22,Qxh8,True,h7h8,30 cp,0.512,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
23,Bxf6,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
24,Bh7,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
25,Qxd7,True,h7d7,Mate in 4,0.902,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
26,d5,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
27,O-O-O,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
28,Qxh3,True,h7h3,650 cp,0.76,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
29,f5,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
30,Rb1,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
31,SE,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
32,d6q,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
33,f4,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
34,h5,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
35,O-O,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
36,be4,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
37,d6,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
38,f2,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
39,Qxh7,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
40,e3,False,,,0.0,r6b/1p5Q/3k4/5B2/3r4/2B1p3/8/1R5K
