Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,Qh5,True,f5h5,-321 cp,0.372,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
2,Qh5,True,f5h5,-312 cp,0.375,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
3,Qh5,True,f5h5,-321 cp,0.372,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
4,Qh5,True,f5h5,-316 cp,0.374,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
5,Qh5,True,f5h5,-315 cp,0.374,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
6,Qh5,True,f5h5,-344 cp,0.362,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
7,Qh5,True,f5h5,-330 cp,0.368,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
8,Qh5,True,f5h5,-343 cp,0.363,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
9,Qh5,True,f5h5,-350 cp,0.36,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
10,Qh5,True,f5h5,-326 cp,0.37,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
11,Qh5,True,f5h5,-336 cp,0.366,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
12,Qh5,True,f5h5,-333 cp,0.367,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
13,Qh5,True,f5h5,-323 cp,0.371,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
14,Qh5,True,f5h5,-317 cp,0.373,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
15,Qh5,True,f5h5,-325 cp,0.37,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
16,Qh5,True,f5h5,-346 cp,0.362,2K5/7p/2p2p2/5Q2/b1Np1BPq/3N2p1/P5p1/r2k1nR1
