Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,Nb3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
2,Nc3,True,a2c3,Mate in -18,0.1,2K5/8/8/p7/1r6/1k6/N7/8
3,Nc2,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
4,Na3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
5,Nb3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
6,Kc2,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
7,Nc3,True,a2c3,Mate in -18,0.1,2K5/8/8/p7/1r6/1k6/N7/8
8,Nd4,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
9,Nc3,True,a2c3,Mate in -18,0.1,2K5/8/8/p7/1r6/1k6/N7/8
10,Nb5,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
11,Nb1a3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
12,a3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
13,Nb1,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
14,Kd3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
15,Nc3,True,a2c3,Mate in -18,0.1,2K5/8/8/p7/1r6/1k6/N7/8
16,a3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
17,Nc3,True,a2c3,Mate in -18,0.1,2K5/8/8/p7/1r6/1k6/N7/8
18,Na3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
19,Kc2,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
20,Nc2,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
21,Nc2,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
22,Nb4,True,a2b4,-681 cp,0.228,2K5/8/8/p7/1r6/1k6/N7/8
23,Nd4,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
24,Kc2,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
25,Nb1,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
26,Kd2,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
27,Na3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
28,Na3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
29,Nxa3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
30,Ne2,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
31,Na3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
32,Na3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
33,a2-a3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
34,Nc3,True,a2c3,Mate in -18,0.1,2K5/8/8/p7/1r6/1k6/N7/8
35,Nc3,True,a2c3,Mate in -18,0.1,2K5/8/8/p7/1r6/1k6/N7/8
36,Kc3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
37,Nb4,True,a2b4,-687 cp,0.225,2K5/8/8/p7/1r6/1k6/N7/8
38,c2-c3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
39,Nc2,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
40,Nb3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
41,Nb3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
42,Na3,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
43,Nd5,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
44,Nc3,True,a2c3,Mate in -18,0.1,2K5/8/8/p7/1r6/1k6/N7/8
45,Nb5,False,,,0.0,2K5/8/8/p7/1r6/1k6/N7/8
