Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
2,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
3,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
4,Nf6,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
5,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
6,Nc6,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
7,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
8,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
9,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
10,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
11,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
12,Nc6-e7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
13,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
14,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
15,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
16,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
17,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
18,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
19,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
20,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
21,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
22,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
23,Nc6,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
24,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
25,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
26,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
27,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
28,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
29,NONE,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
30,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
31,Nf7,False,,,0.0,2N2q2/3K4/2p1r3/8/8/4k1p1/6p1/8
