Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
2,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
3,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
4,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
5,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
6,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
7,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
8,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
9,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
10,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
11,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
12,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
13,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
14,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
15,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
16,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
17,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
18,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
19,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
20,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
21,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
22,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
23,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
24,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
25,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
26,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
27,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
28,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
29,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
30,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
31,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
32,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
33,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
34,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
35,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
36,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
37,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
38,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
39,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
40,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
41,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
42,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
43,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
44,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
45,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
46,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
47,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
48,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
49,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
50,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
51,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
52,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
53,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
54,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
55,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
56,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
57,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
58,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
59,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
60,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
61,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
62,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
63,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
64,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
65,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
66,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
67,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
68,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
69,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
70,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
71,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
72,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
73,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
74,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
75,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
76,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
77,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
78,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
79,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
80,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
81,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
82,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
83,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
84,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
85,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
86,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
87,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
88,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
89,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
90,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
91,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
92,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
93,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
94,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
95,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
96,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
97,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
98,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
99,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
100,Qxf7,True,g7f7,Mate in 1,0.91,8/5pQB/6n1/6k1/6P1/6K1/8/8
,,,,,,
,=== Summary Statistics ===,,,,,
,Average Normalized Value,,,0.91,,
,Standard Deviation,,,0.0,,
,Mean Absolute Error (from 0.5),,,0.41,,
,Illegal Moves (%),,,0.00%,,
,Mean Value (Legal Moves Only),,,0.91,,
