Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
2,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
3,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
4,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
5,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
6,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
7,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
8,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
9,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
10,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
11,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
12,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
13,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
14,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
15,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
16,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
17,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
18,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
19,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
20,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
21,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
22,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
23,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
24,Nc3,False,,,0.0,5K2/8/4pk1p/2P3bR/4Pp1P/N3p2P/4Q1RB/1B4N1
