Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
2,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
3,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
4,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
5,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
6,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
7,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
8,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
9,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
10,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
11,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
12,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
13,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
14,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
15,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
16,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
17,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
18,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
19,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
20,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
21,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
22,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
23,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
24,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
25,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
26,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
27,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
28,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
29,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
30,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
31,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
32,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
33,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
34,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
35,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
36,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
37,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
38,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
39,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
40,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
41,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
42,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
43,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
44,Qd8,False,,,0.0,8/1Pk5/2p2K2/2N5/8/8/3B4/6Q1
