Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
2,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
3,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
4,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
5,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
6,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
7,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
8,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
9,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
10,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
11,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
12,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
13,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
14,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
15,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
16,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
17,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
18,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
19,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
20,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
21,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
22,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
23,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
24,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
25,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
26,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
27,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
28,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
29,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
30,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
31,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
32,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
33,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
34,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
35,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
36,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
37,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
38,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
39,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
40,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
41,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
42,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
43,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
44,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
45,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
46,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
47,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
48,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
49,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
50,NONE,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
