Call#,Move,Legal,UCI,Eval,Normalized,FEN
1,e4,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
2,Rf8,True,f2f8,1099 cp,0.9,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
3,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
4,Rf7,True,f2f7,Mate in 8,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
5,Rf8,True,f2f8,Mate in 9,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
6,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
7,e4,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
8,Qxh7,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
9,e4,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
10,Rf7,True,f2f7,Mate in 8,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
11,Qxd7,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
12,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
13,Rf1,True,f2f1,Mate in 9,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
14,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
15,Rf8,True,f2f8,Mate in 8,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
16,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
17,Kf1,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
18,Rf7,True,f2f7,Mate in 8,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
19,Kf1,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
20,Rf8,True,f2f8,Mate in 8,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
21,Qxd7,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
22,Rf7,True,f2f7,Mate in 8,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
23,Rf8,True,f2f8,Mate in 9,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
24,e4,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
25,e4,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
26,e4,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
27,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
28,Qxh7,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
29,Qxd7,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
30,Rf1,True,f2f1,Mate in 7,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
31,Rf8,True,f2f8,Mate in 9,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
32,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
33,Qxh7,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
34,Qxh7,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
35,e4,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
36,Rf8,True,f2f8,Mate in 9,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
37,Qxd7,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
38,Rf8,True,f2f8,Mate in 9,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
39,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
40,Rf7,True,f2f7,Mate in 8,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
41,Rf8,True,f2f8,Mate in 9,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
42,Rf8,True,f2f8,Mate in 9,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
43,e4,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
44,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
45,Rf7,True,f2f7,Mate in 8,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
46,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
47,Kf1,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
48,Kf1,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
49,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
50,Rf8,True,f2f8,Mate in 9,0.901,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
51,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
52,O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
53,O-O-O,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
54,e4,False,,,0.0,8/6BQ/1K6/8/4p3/1p1k4/5R2/8
