Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,8rc5R,Qd8,True,b8d8,-459 cp,0.316,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
2,8rc5R,Qd8,True,b8d8,-450 cp,0.32,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
3,8rc5R,Qb7,True,b8b7,-928 cp,0.129,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
4,8rc5R,Qd8,True,b8d8,-452 cp,0.319,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
5,8rc5R,Qb7,True,b8b7,-950 cp,0.12,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
6,8rc5R,Qb7,True,b8b7,-924 cp,0.13,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
7,8rc5R,Qd8,True,b8d8,-440 cp,0.324,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
8,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
9,8rc5R,Qd8,True,b8d8,-465 cp,0.314,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
10,8rc5R,Qb7,True,b8b7,-901 cp,0.14,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
11,8rc5R,Qd8,True,b8d8,-450 cp,0.32,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
12,8rc5R,Qd8,True,b8d8,-463 cp,0.315,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
13,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
14,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
15,8rc5R,Qb7,True,b8b7,-938 cp,0.125,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
16,8rc5R,Qb8xd8,True,b8d8,-476 cp,0.31,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
17,8rc5R,Qd8,True,b8d8,-465 cp,0.314,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
18,8rc5R,Qd8,True,b8d8,-476 cp,0.31,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
19,8rc5R,Qd8,True,b8d8,-466 cp,0.314,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
20,8rc5R,Qb7,True,b8b7,-937 cp,0.125,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
21,8rc5R,Qb7,True,b8b7,-907 cp,0.137,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
22,8rc5R,Qd8,True,b8d8,-462 cp,0.315,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
23,8rc5R,Qb7,True,b8b7,-920 cp,0.132,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
24,8rc5R,Qd8,True,b8d8,-491 cp,0.304,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
25,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
26,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
27,8rc5R,Qd8,True,b8d8,-494 cp,0.302,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
28,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
29,8rc5R,Qb7,True,b8b7,-969 cp,0.112,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
30,8rc5R,Qd8,True,b8d8,-473 cp,0.311,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
31,8rc5R,Qb7,True,b8b7,-953 cp,0.119,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
32,8rc5R,Qd8,True,b8d8,-486 cp,0.306,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
33,8rc5R,Qb7,True,b8b7,-962 cp,0.115,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
34,8rc5R,Qd8,True,b8d8,-490 cp,0.304,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
35,8rc5R,Qd8,True,b8d8,-458 cp,0.317,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
36,8rc5R,Qb7,True,b8b7,-977 cp,0.109,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
37,8rc5R,Qd8,True,b8d8,-485 cp,0.306,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
38,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
39,8rc5R,Qxd6,True,b8d6,-774 cp,0.19,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
40,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
41,8rc5R,Qxd6,True,b8d6,-804 cp,0.178,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
42,8rc5R,Qd8,True,b8d8,-509 cp,0.296,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
43,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
44,8rc5R,Qd8,True,b8d8,-507 cp,0.297,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
45,8rc5R,Qb7,True,b8b7,-986 cp,0.106,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
46,8rc5R,Qb7,True,b8b7,-942 cp,0.123,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
47,8rc5R,Qd8,True,b8d8,-504 cp,0.298,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
48,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
49,8rc5R,Qd8,True,b8d8,-508 cp,0.297,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.1,0.3,1000
