Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,3pap0,Rxd5,True,d8d5,-430 cp,0.328,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
2,3pap0,Rxd5,True,d8d5,-441 cp,0.324,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
3,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
4,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
5,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
6,3pap0,Rxd5,True,d8d5,-419 cp,0.332,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
7,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
8,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
9,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
10,3pap0,Rxd5,True,d8d5,-444 cp,0.322,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
11,3pap0,Rxd5,True,d8d5,-448 cp,0.321,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
12,3pap0,Rxd5,True,d8d5,-445 cp,0.322,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
13,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
14,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
15,3pap0,Rxd5,True,d8d5,-432 cp,0.327,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
16,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
17,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
18,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
19,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
20,3pap0,Rxd5,True,d8d5,-449 cp,0.32,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
21,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
22,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
23,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
24,3pap0,Rxd5,True,d8d5,-429 cp,0.328,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
25,3pap0,Rxd5,True,d8d5,-441 cp,0.324,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,1,0.3,1000
