Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
2,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
3,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
4,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
5,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
6,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
7,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
8,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
9,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
10,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
11,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
12,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
13,8rc5R,Qf8,True,b8f8,Mate in 0,1.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.0,0.3,1000
