Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,On8u6,Qe4,True,e2e4,304 cp,0.622,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
2,On8u6,Qe4,True,e2e4,307 cp,0.623,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
3,On8u6,Qe4,True,e2e4,319 cp,0.628,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
4,On8u6,Qe4,True,e2e4,302 cp,0.621,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
5,On8u6,Qe4,True,e2e4,308 cp,0.623,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
6,On8u6,Qe4,True,e2e4,317 cp,0.627,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
7,On8u6,Qe4,True,e2e4,315 cp,0.626,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
8,On8u6,Qe4,True,e2e4,305 cp,0.622,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
9,On8u6,Qe4,True,e2e4,305 cp,0.622,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
10,On8u6,Qe4,True,e2e4,307 cp,0.623,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
11,On8u6,Qe4,True,e2e4,307 cp,0.623,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
12,On8u6,Qe4,True,e2e4,305 cp,0.622,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
13,On8u6,Qe4,True,e2e4,315 cp,0.626,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
14,On8u6,Qe4,True,e2e4,318 cp,0.627,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
15,On8u6,Qe4,True,e2e4,319 cp,0.628,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
16,On8u6,Qe4,True,e2e4,322 cp,0.629,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
17,On8u6,Qe4,True,e2e4,322 cp,0.629,2k5/6p1/3qp2r/1p5p/2pP1b2/2P2P1p/1R2Q3/5RK1 w - - 0 35,0.6,0.3,1000
