Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,3pap0,Rd7,True,d8d7,823 cp,0.829,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
2,3pap0,Rd7,True,d8d7,844 cp,0.838,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
3,3pap0,Rd7,True,d8d7,834 cp,0.834,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
4,3pap0,Rd7,True,d8d7,832 cp,0.833,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
5,3pap0,Rd7,True,d8d7,838 cp,0.835,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
6,3pap0,Rd7,True,d8d7,838 cp,0.835,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
7,3pap0,Rd7,True,d8d7,823 cp,0.829,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
8,3pap0,Rd7,True,d8d7,842 cp,0.837,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
9,3pap0,Rd7,True,d8d7,841 cp,0.836,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
10,3pap0,Rd7,True,d8d7,845 cp,0.838,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
11,3pap0,Rd7,True,d8d7,841 cp,0.836,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
12,3pap0,Rd7,True,d8d7,819 cp,0.828,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
13,3pap0,Rd7,True,d8d7,828 cp,0.831,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
14,3pap0,Rd7,True,d8d7,818 cp,0.827,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
15,3pap0,Rd7,True,d8d7,809 cp,0.824,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
16,3pap0,Rd7,True,d8d7,825 cp,0.83,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
17,3pap0,Rd7,True,d8d7,831 cp,0.832,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
18,3pap0,Rd7,True,d8d7,833 cp,0.833,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
19,3pap0,Rd7,True,d8d7,824 cp,0.83,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
20,3pap0,Rd7,True,d8d7,824 cp,0.83,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
21,3pap0,Rd7,True,d8d7,822 cp,0.829,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
22,3pap0,Rd7,True,d8d7,824 cp,0.83,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
23,3pap0,Rd7,True,d8d7,826 cp,0.83,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
24,3pap0,Rd7,True,d8d7,828 cp,0.831,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
25,3pap0,Rd7,True,d8d7,831 cp,0.832,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
26,3pap0,Rd7,True,d8d7,830 cp,0.832,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
27,3pap0,Rd7,True,d8d7,827 cp,0.831,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
28,3pap0,Rd7,True,d8d7,833 cp,0.833,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
29,3pap0,Rd7,True,d8d7,831 cp,0.832,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
30,3pap0,Rd7,True,d8d7,828 cp,0.831,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
31,3pap0,Rd7,True,d8d7,833 cp,0.833,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
32,3pap0,Rd7,True,d8d7,825 cp,0.83,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
33,3pap0,Rd7,True,d8d7,830 cp,0.832,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.3,1000
