Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,8rc5R,Qb7,True,b8b7,-910 cp,0.136,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
2,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
3,8rc5R,Qb7,True,b8b7,-972 cp,0.111,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
4,8rc5R,Qb7,True,b8b7,-941 cp,0.124,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
5,8rc5R,Qb7,True,b8b7,-976 cp,0.11,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
6,8rc5R,Qb7,True,b8b7,-907 cp,0.137,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
7,8rc5R,Qd8,True,b8d8,-489 cp,0.304,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
8,8rc5R,Qd8,True,b8d8,-487 cp,0.305,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
9,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
10,8rc5R,Qb7,True,b8b7,-938 cp,0.125,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
11,8rc5R,Qe8,True,b8e8,-947 cp,0.121,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
12,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
13,8rc5R,Qb7,True,b8b7,-984 cp,0.106,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
14,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
15,8rc5R,Qb7,True,b8b7,-960 cp,0.116,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
16,8rc5R,Qb7,True,b8b7,-924 cp,0.13,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
17,8rc5R,Qd8,True,b8d8,-492 cp,0.303,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
18,8rc5R,Qd8,True,b8d8,-500 cp,0.3,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
19,8rc5R,Qd8,True,b8d8,-498 cp,0.301,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
20,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
21,8rc5R,Qb7,True,b8b7,-917 cp,0.133,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
22,8rc5R,Qb7,True,b8b7,-966 cp,0.114,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
23,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
24,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
25,8rc5R,Qb7,True,b8b7,-911 cp,0.136,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
26,8rc5R,Qd8,True,b8d8,-500 cp,0.3,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
27,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
28,8rc5R,Qb7,True,b8b7,-957 cp,0.117,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
29,8rc5R,Qb8xd8,True,b8d8,-504 cp,0.298,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
30,8rc5R,Qd8,True,b8d8,-509 cp,0.296,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
31,8rc5R,Qb7,True,b8b7,-968 cp,0.113,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
32,8rc5R,Qb7,True,b8b7,-985 cp,0.106,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
33,8rc5R,Qb7,True,b8b7,-996 cp,0.102,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
34,8rc5R,Qb7,True,b8b7,-953 cp,0.119,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
35,8rc5R,Qxd6,True,b8d6,-860 cp,0.156,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
36,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
37,8rc5R,Qd8,True,b8d8,-499 cp,0.3,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
38,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
39,8rc5R,Qb7,True,b8b7,-994 cp,0.102,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
40,8rc5R,Qb7,True,b8b7,-921 cp,0.132,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
41,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
42,8rc5R,Qe8,True,b8e8,-925 cp,0.13,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
43,8rc5R,Qb7,True,b8b7,-955 cp,0.118,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
44,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
45,8rc5R,Qb7,True,b8b7,-960 cp,0.116,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
46,8rc5R,Qe8,True,b8e8,-975 cp,0.11,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
47,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
48,8rc5R,Qb7,True,b8b7,-981 cp,0.108,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
49,8rc5R,Qd8,True,b8d8,-502 cp,0.299,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
50,8rc5R,Qb7,True,b8b7,-982 cp,0.107,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
51,8rc5R,Qb7,True,b8b7,-1019 cp,0.1,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
52,8rc5R,Qb7,True,b8b7,-994 cp,0.102,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
53,8rc5R,Qxd5,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
54,8rc5R,Qb7,True,b8b7,-965 cp,0.114,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
55,8rc5R,Qxf7,False,,,0.0,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
56,8rc5R,Qd8,True,b8d8,-516 cp,0.294,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
57,8rc5R,Qb7,True,b8b7,-1006 cp,0.1,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
58,8rc5R,Qb7,True,b8b7,-998 cp,0.101,1Q6/1p2Bk2/p1q1r1r1/3b4/8/6P1/PP3P1P/3R2K1 w - - 13 46,0.7,0.3,1000
