Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
2,3pap0,Rxd5,True,d8d5,-429 cp,0.328,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
3,3pap0,Rxd5,True,d8d5,-430 cp,0.328,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
4,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
5,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
6,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
7,3pap0,Rc8,True,d8c8,683 cp,0.773,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
8,3pap0,Rxd5,True,d8d5,-455 cp,0.318,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
9,3pap0,Rxd5,True,d8d5,-426 cp,0.33,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
10,3pap0,Rg8,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
11,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
12,3pap0,Rd2,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
13,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
14,3pap0,Rxd5,True,d8d5,-423 cp,0.331,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
15,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
16,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
17,3pap0,Rxd5,True,d8d5,-459 cp,0.316,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
18,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
19,3pap0,Rxd5,True,d8d5,-456 cp,0.318,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
20,3pap0,Rxd5,True,d8d5,-443 cp,0.323,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
21,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
22,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
23,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
24,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
25,3pap0,Rxd5,True,d8d5,-461 cp,0.316,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
26,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
27,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
28,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
29,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
30,3pap0,Rxd5,True,d8d5,-456 cp,0.318,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
31,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
32,3pap0,Rxd5,True,d8d5,-458 cp,0.317,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
33,3pap0,Rxd5,True,d8d5,-441 cp,0.324,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
34,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
35,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
36,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
37,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
38,3pap0,Rxd5,True,d8d5,-435 cp,0.326,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.9,1000
