Call#,PuzzleID,Move,Legal,UCI,Eval,Normalized,FEN,Temperature,Top_p,Max_tokens
1,3pap0,Rd7,True,d8d7,649 cp,0.76,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
2,3pap0,Rd7,True,d8d7,664 cp,0.766,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
3,3pap0,Rd7,True,d8d7,695 cp,0.778,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
4,3pap0,Bd4,True,b2d4,658 cp,0.763,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
5,3pap0,Rd7,True,d8d7,705 cp,0.782,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
6,3pap0,Rd7,True,d8d7,694 cp,0.778,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
7,3pap0,Rxd5,True,d8d5,-385 cp,0.346,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
8,3pap0,Rd7,True,d8d7,716 cp,0.786,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
9,3pap0,Rd7,True,d8d7,705 cp,0.782,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
10,3pap0,Rd7,True,d8d7,711 cp,0.784,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
11,3pap0,Rd7,True,d8d7,701 cp,0.78,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
12,3pap0,Rd7,True,d8d7,725 cp,0.79,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
13,3pap0,Rd7,True,d8d7,726 cp,0.79,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
14,3pap0,Rd7,True,d8d7,726 cp,0.79,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
15,3pap0,Rd7,True,d8d7,726 cp,0.79,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
16,3pap0,Rd7,True,d8d7,739 cp,0.796,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
17,3pap0,Rd7,True,d8d7,725 cp,0.79,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
18,3pap0,Rd7,True,d8d7,732 cp,0.793,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
19,3pap0,Rd7,True,d8d7,713 cp,0.785,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
20,3pap0,Rd7,True,d8d7,741 cp,0.796,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
21,3pap0,Rd7,True,d8d7,726 cp,0.79,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
22,3pap0,Rd7,True,d8d7,727 cp,0.791,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
23,3pap0,Bd4,True,b2d4,644 cp,0.758,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
24,3pap0,Rd7,True,d8d7,743 cp,0.797,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
25,3pap0,Bd4,True,b2d4,643 cp,0.757,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
26,3pap0,Rd7,True,d8d7,729 cp,0.792,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
27,3pap0,Rd7,True,d8d7,744 cp,0.798,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
28,3pap0,Rd7,True,d8d7,742 cp,0.797,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
29,3pap0,Rd7,True,d8d7,736 cp,0.794,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
30,3pap0,Bd4,True,b2d4,646 cp,0.758,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
31,3pap0,Rd7,True,d8d7,743 cp,0.797,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
32,3pap0,Rd7,True,d8d7,736 cp,0.794,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
33,3pap0,Rd7,True,d8d7,749 cp,0.8,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
34,3pap0,Rd7,True,d8d7,746 cp,0.798,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
35,3pap0,Rd7,True,d8d7,752 cp,0.801,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
36,3pap0,Rxd5,True,d8d5,-428 cp,0.329,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
37,3pap0,Rd1,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
38,3pap0,Rd7,True,d8d7,761 cp,0.804,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
39,3pap0,Rd7,True,d8d7,749 cp,0.8,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
40,3pap0,Re8,True,d8e8,397 cp,0.659,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
41,3pap0,Rd7,True,d8d7,735 cp,0.794,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
42,3pap0,Rd7,True,d8d7,753 cp,0.801,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
43,3pap0,Rxf7,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
44,3pap0,Rd7,True,d8d7,751 cp,0.8,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
45,3pap0,Bd4,True,b2d4,654 cp,0.762,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
46,3pap0,Rxd5,True,d8d5,-447 cp,0.321,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
47,3pap0,Rd7,True,d8d7,743 cp,0.797,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
48,3pap0,Rd7,True,d8d7,760 cp,0.804,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
49,3pap0,Rd7,True,d8d7,759 cp,0.804,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
50,3pap0,Bd4,True,b2d4,659 cp,0.764,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
51,3pap0,Rd7,True,d8d7,755 cp,0.802,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
52,3pap0,Rd7,True,d8d7,762 cp,0.805,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
53,3pap0,Rd7,True,d8d7,762 cp,0.805,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
54,3pap0,Rd7,True,d8d7,749 cp,0.8,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
55,3pap0,Rd1,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
56,3pap0,Rd7,True,d8d7,757 cp,0.803,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
57,3pap0,Rd1,False,,,0.0,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
58,3pap0,Rd8xd5,True,d8d5,-445 cp,0.322,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
59,3pap0,Bd4,True,b2d4,659 cp,0.764,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
60,3pap0,Bd4,True,b2d4,665 cp,0.766,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
61,3pap0,Rd7,True,d8d7,769 cp,0.808,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
62,3pap0,Rd7,True,d8d7,765 cp,0.806,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
63,3pap0,Rd7,True,d8d7,772 cp,0.809,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
64,3pap0,Bxa3,True,b2a3,681 cp,0.772,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
65,3pap0,Rd7,True,d8d7,772 cp,0.809,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
66,3pap0,Rd7,True,d8d7,756 cp,0.802,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
67,3pap0,Rd7,True,d8d7,778 cp,0.811,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
68,3pap0,Rd7,True,d8d7,777 cp,0.811,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
69,3pap0,Rd7,True,d8d7,776 cp,0.81,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
70,3pap0,Rd7,True,d8d7,776 cp,0.81,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
71,3pap0,Rd7,True,d8d7,786 cp,0.814,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
72,3pap0,Rd7,True,d8d7,775 cp,0.81,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
73,3pap0,Rd7,True,d8d7,784 cp,0.814,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
74,3pap0,Rd7,True,d8d7,789 cp,0.816,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
75,3pap0,Rd7,True,d8d7,796 cp,0.818,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
76,3pap0,Bxa3,True,b2a3,689 cp,0.776,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
77,3pap0,Rd7,True,d8d7,792 cp,0.817,3r2k1/5R1p/1p3p2/p2B4/2P5/6P1/Pb3P1P/6K1 b - - 0 23,0.7,0.0,1000
